,time,latitude,longitude,elevation
0,2019-09-14 18:28:46+00:00,21.941432738676667,-159.4808045681566,206.0
1,2019-09-14 18:28:47+00:00,21.941419830545783,-159.4808304682374,206.0
2,2019-09-14 18:28:48+00:00,21.941431649029255,-159.48079937137663,206.0
3,2019-09-14 18:28:49+00:00,21.941442880779505,-159.48076634667814,205.8000030517578
4,2019-09-14 18:28:50+00:00,21.941470121964812,-159.48076249100268,206.0
5,2019-09-14 18:28:51+00:00,21.941461320966482,-159.48071588762105,205.60000610351562
6,2019-09-14 18:28:52+00:00,21.941473223268986,-159.4807064998895,205.8000030517578
7,2019-09-14 18:28:53+00:00,21.941465931013227,-159.4806808512658,205.39999389648438
8,2019-09-14 18:28:54+00:00,21.941482946276665,-159.4806573819369,205.39999389648438
9,2019-09-14 18:28:55+00:00,21.94149501621723,-159.48063458316028,205.39999389648438
10,2019-09-14 18:28:56+00:00,21.941516054794192,-159.48061170056462,205.39999389648438
11,2019-09-14 18:28:57+00:00,21.941542541608214,-159.48059803806245,205.60000610351562
12,2019-09-14 18:28:58+00:00,21.941580763086677,-159.4805870577693,205.8000030517578
13,2019-09-14 18:28:59+00:00,21.94155218079686,-159.480567779392,205.39999389648438
14,2019-09-14 18:29:00+00:00,21.94158084690571,-159.48057842440903,205.8000030517578
15,2019-09-14 18:29:01+00:00,21.941575733944774,-159.48058404028416,205.8000030517578
16,2019-09-14 18:29:02+00:00,21.94156374782324,-159.48055311106145,205.39999389648438
17,2019-09-14 18:29:03+00:00,21.941567100584507,-159.4805331621319,205.1999969482422
18,2019-09-14 18:29:04+00:00,21.94153591990471,-159.48048538528383,204.39999389648438
19,2019-09-14 18:29:05+00:00,21.941476995125413,-159.4804882351309,204.0
20,2019-09-14 18:29:06+00:00,21.941467775031924,-159.4804953597486,204.0
21,2019-09-14 18:29:07+00:00,21.94142997264862,-159.48042277246714,202.8000030517578
22,2019-09-14 18:29:08+00:00,21.941415388137102,-159.48042905889452,202.60000610351562
23,2019-09-14 18:29:09+00:00,21.941409520804882,-159.48045747354627,202.8000030517578
24,2019-09-14 18:29:10+00:00,21.941409269347787,-159.48039511218667,202.1999969482422
25,2019-09-14 18:29:11+00:00,21.941408263519406,-159.4803624227643,201.8000030517578
26,2019-09-14 18:29:12+00:00,21.941407090052962,-159.48033157736063,201.60000610351562
27,2019-09-14 18:29:13+00:00,21.94140315055847,-159.48030433617532,201.1999969482422
28,2019-09-14 18:29:14+00:00,21.941402480006218,-159.48027634061873,200.8000030517578
29,2019-09-14 18:29:15+00:00,21.941402815282345,-159.4802498538047,200.60000610351562
30,2019-09-14 18:29:16+00:00,21.941409269347787,-159.48022160679102,200.60000610351562
31,2019-09-14 18:29:17+00:00,21.941419327631593,-159.48019444942474,200.39999389648438
32,2019-09-14 18:29:18+00:00,21.941436175256968,-159.48017139919102,200.39999389648438
33,2019-09-14 18:29:19+00:00,21.9414534419775,-159.48015513829887,200.60000610351562
34,2019-09-14 18:29:20+00:00,21.941468361765146,-159.48014248162508,200.60000610351562
35,2019-09-14 18:29:21+00:00,21.94148864597082,-159.48013192042708,200.8000030517578
36,2019-09-14 18:29:22+00:00,21.941506080329418,-159.4801269751042,200.8000030517578
37,2019-09-14 18:29:23+00:00,21.941525358706713,-159.48012446053326,201.0
38,2019-09-14 18:29:24+00:00,21.94154136814177,-159.48012840002775,201.0
39,2019-09-14 18:29:25+00:00,21.941557712852955,-159.4801311660558,201.1999969482422
40,2019-09-14 18:29:26+00:00,21.94158185273409,-159.48013208806515,201.1999969482422
41,2019-09-14 18:29:27+00:00,21.941606579348445,-159.48012999258935,201.39999389648438
42,2019-09-14 18:29:28+00:00,21.941631892696023,-159.48012680746615,201.39999389648438
43,2019-09-14 18:29:29+00:00,21.941657541319728,-159.48012161068618,201.39999389648438
44,2019-09-14 18:29:30+00:00,21.941682770848274,-159.48011230677366,201.60000610351562
45,2019-09-14 18:29:31+00:00,21.941705904901028,-159.48010241612792,201.60000610351562
46,2019-09-14 18:29:32+00:00,21.941727194935083,-159.4800896756351,201.60000610351562
47,2019-09-14 18:29:33+00:00,21.94174714386463,-159.4800740852952,201.60000610351562
48,2019-09-14 18:29:34+00:00,21.94176809862256,-159.48005991987884,201.60000610351562
49,2019-09-14 18:29:35+00:00,21.941785449162126,-159.4800413120538,201.39999389648438
50,2019-09-14 18:29:36+00:00,21.941802045330405,-159.4800188485533,201.39999389648438
51,2019-09-14 18:29:37+00:00,21.94181587547064,-159.4799952954054,201.39999389648438
52,2019-09-14 18:29:38+00:00,21.941829454153776,-159.47997299954295,201.39999389648438
53,2019-09-14 18:29:39+00:00,21.941843032836914,-159.47995162568986,201.39999389648438
54,2019-09-14 18:29:40+00:00,21.941860299557447,-159.4799221213907,201.1999969482422
55,2019-09-14 18:29:41+00:00,21.941877650097013,-159.4798904377967,201.39999389648438
56,2019-09-14 18:29:42+00:00,21.941895335912704,-159.47986260987818,201.39999389648438
57,2019-09-14 18:29:43+00:00,21.941913776099682,-159.47983821853995,201.39999389648438
58,2019-09-14 18:29:44+00:00,21.9419336412102,-159.47981701232493,201.60000610351562
59,2019-09-14 18:29:45+00:00,21.941952919587493,-159.4797999970615,201.60000610351562
60,2019-09-14 18:29:46+00:00,21.941972114145756,-159.47978482581675,201.60000610351562
61,2019-09-14 18:29:47+00:00,21.94199332036078,-159.47977183386683,201.8000030517578
62,2019-09-14 18:29:48+00:00,21.94201243110001,-159.47975557297468,201.8000030517578
63,2019-09-14 18:29:49+00:00,21.942031541839242,-159.4797373842448,201.8000030517578
